NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD,Latitude,Longitude,asthma_hotspot_probability
45.40716,0.07218988,15.22783,20.855,116.781061,204.497897040346,888253,170055,0.69
43.78531,0.06423113,40.64584,23.27692,43.0206204,40.5773431973855,901626,55082,0.89
39.2029,0.07086116,19.39989,21.75664,52.9222217,40.2202276472203,898867,105638,1.0
76.26279,0.07777687,13.44423,23.85156,13.8817474,34.6420675383085,818844,247635,0.98
29.21693,0.06683566,13.42142,22.70329,13.3638418,2.55266643586289,946636,232543,1.0
71.42386,0.07479028,15.03868,23.74056,152.445462,68.4054699539446,867417,221125,0.99
47.59054,0.07362898,15.28461,19.80209,1.25875202,159.081842632414,875430,163669,0.77
79.76246,0.07673768,13.2808,24.84292,138.700303,58.4161997780164,832513,223066,0.94
43.58727,0.07329722,15.89048,20.71889,578.310694,113.596848685634,870915,114273,0.86
30.18195,0.06781188,13.31868,22.86619,17.2240747,71.4173754306105,941865,241885,0.98
81.1777,0.07685611,13.28774,24.71818,39.1205629,32.6377524724826,830549,224725,0.97
48.54528,0.07113804,15.77622,23.52387,39.1161021,32.6937922468369,908035,236952,1.0
35.07856,0.0716931,15.6376,21.83987,0.0,50.2159616164212,926839,114397,0.91
44.79829,0.07162882,15.40197,21.5217,256.953862,48.1776509472813,896141,177421,1.0
44.4414,0.06874086,16.56477,23.311,158.601336,67.2925279320188,913764,212338,0.97
35.68435,0.07484015,15.93547,20.24762,53.9049947,50.1815063177891,889501,137105,0.82
62.21294,0.07426777,14.93831,22.5656,16.2141519,134.755652119688,864680,193535,0.77
35.44141,0.0660939,15.13296,22.8877,32.4741117,22.7802176693117,932324,215408,1.0
69.14759,0.07995435,12.27067,24.80705,18.3731811,19.6064475955041,857250,268147,0.96
36.80401,0.07179458,16.65478,21.73661,44.5896869,50.5661692052137,904584,116579,1.0
33.82432,0.07006726,12.84133,23.30151,0.0,29.6617609218907,931492,258240,0.97
43.53668,0.07396319,15.84502,20.53872,0.0,87.5528643496874,869646,116677,0.89
43.95712,0.06445207,39.02734,23.18863,57.0748308,184.065577003704,896618,56842,0.71
37.83923,0.07123919,18.22997,21.7782,27.5974729,64.8688826072566,902736,109397,0.99
43.14509,0.06398277,42.95502,23.62917,127.65967,52.6824431758164,913189,54548,0.95
41.32042,0.07382366,15.69451,20.56293,56.1579216,49.5961558076375,876325,120815,0.96
44.87163,0.07177267,17.04511,21.09513,23.9964916,70.3098790081965,869495,107879,1.0
40.88865,0.06908157,15.46422,23.37427,37.5726526,63.2352237484825,920928,232045,1.0
34.68518,0.0662298,14.92968,22.8419,0.0,20.6805898277527,934341,216234,0.97
44.08583,0.068782,16.48956,23.24189,148.641996,73.9465641672016,914205,209820,0.99
36.192,0.07019301,15.1167,21.35188,0.0,104.62933808853,916001,177905,0.98
69.61375,0.07432816,15.21477,23.68561,0.0,9.50222143861506,867844,214314,0.99
75.49619,0.07648428,14.03169,24.45487,42.5697178,47.8184610570324,851786,218908,0.97
76.26279,0.07777687,13.44423,23.85156,0.0,37.808826043984,819212,247369,0.99
52.60308,0.0704764,17.51296,23.43913,42.9868093,48.824395857921,901257,216458,1.0
80.52839,0.07681801,13.35797,24.87147,528.155003,17.6240014444219,833129,225161,0.89
66.37846,0.07309306,17.06167,23.30803,13.0298999,63.7815953457198,884941,226770,1.0
45.78553,0.0698806,16.50296,23.42201,45.2388909,36.1240700996404,912309,228742,1.0
42.45804,0.06820763,16.27608,23.31259,28.8245335,74.8175412208184,918367,218148,1.0
40.55933,0.07132816,17.51209,21.59725,69.8632826,93.3956315531114,886825,111308,0.97
50.95349,0.07090963,17.43117,23.50891,122.876825,19.1293729019903,904688,230324,0.99
34.99739,0.06741136,14.50043,23.08946,146.902626,37.3955204699548,933800,229869,0.99
67.15256,0.07393012,15.35624,23.48805,0.0,28.8728714613434,869054,208627,1.0
37.30161,0.06932024,14.42416,23.4326,44.9419137,37.3530375051423,927477,239771,1.0
51.89665,0.07130718,17.07787,23.53623,21.7233098,20.0975133308079,903636,234033,1.0
70.5995,0.07548536,14.40633,23.78103,25.2504288,68.3748783600468,874242,240545,1.0
43.244,0.06405861,42.22856,23.40228,44.8322905,74.873105157018,910746,56684,0.94
60.30697,0.07338984,15.25226,23.49546,62.6501811,35.0659971133332,890839,244752,1.0
44.68281,0.07365402,16.35714,20.39431,50.3441825,74.398810834922,865853,112210,0.96
44.32233,0.06868907,16.57435,23.33698,0.0,84.8756129566541,914968,215688,0.97
41.05163,0.0700982,14.93618,23.47632,34.0032364,26.0752204283404,919283,239198,1.0
38.01031,0.0665097,15.54934,23.14974,39.5408324,138.416733734847,926175,218095,0.9
32.01721,0.06943865,12.32913,22.96685,0.0,33.4200452369117,936217,268928,0.91
34.07945,0.06645653,14.83962,22.76364,39.2834123,58.5370276502826,935816,212960,1.0
35.17427,0.07003893,13.40606,23.44029,32.6448553,63.3839749385022,928850,250436,0.97
44.21352,0.06984029,16.26357,22.32563,0.0,76.7160966281691,910032,199411,0.96
76.64296,0.07793885,13.16906,23.93294,66.8199935,36.6220962470277,823530,255621,0.91
80.5696,0.07687833,13.51749,24.96243,0.0,52.9011248166133,834854,229302,0.77
45.31163,0.071835,17.60341,20.90267,51.6566121,40.7875815586522,866736,106314,1.0
43.66597,0.07144379,14.44721,23.57706,281.064636,32.2259870615163,913604,246328,1.0
46.62793,0.07017326,16.5523,23.44315,22.6679763,59.2332468417604,911109,230027,1.0
41.25742,0.07223798,16.28634,21.14265,70.6326601,55.7306713063584,880988,115374,1.0
30.036,0.06842965,12.93722,22.90504,21.0197282,40.1250187097129,940898,251223,0.96
42.48788,0.07119441,14.55064,23.55605,22.7627373,62.0987265550767,915229,244574,1.0
49.05453,0.07025317,16.76761,22.80811,27.1773038,52.9960810531536,903309,205513,1.0
34.3954,0.07041032,12.53389,23.29281,0.0,52.370188139937,930179,264645,0.96
73.1319,0.07650256,13.81196,24.09267,88.1516719,57.6560052221148,867781,238295,1.0
45.72569,0.07000165,16.38899,23.42935,41.8155101,49.3529809426066,912586,230329,1.0
56.55737,0.07180963,18.62478,23.53082,129.694841,13.3008179704016,897629,230554,0.99
35.55067,0.06715155,14.75717,23.08432,245.235663,107.472317189143,932430,226363,1.0
65.64874,0.07303101,16.93141,23.33166,28.834206,60.0265623512813,883330,221881,1.0
71.12394,0.0753672,14.62382,23.7405,20.9465387,69.1078986352759,873857,237592,1.0
78.59044,0.07758277,12.91966,24.06963,0.0,33.4623830106749,824471,247195,0.98
70.2496,0.07742931,13.23143,24.49614,83.8520931,38.841242093619,869786,251808,0.99
76.55252,0.07783751,13.32714,23.83946,0.0,53.6212940312952,816776,249567,0.88
44.41057,0.07325614,16.22893,20.61268,41.7517897,123.025573982717,868193,112314,0.98
35.85283,0.06770985,14.6348,23.18949,27.2533448,68.3535276132194,931999,230658,1.0
33.78205,0.07019991,12.362,23.16883,95.9227614,59.7029010881709,931347,267865,0.98
61.255,0.07333051,15.73268,23.4451,0.0,48.3558486477031,890630,241820,1.0
35.75692,0.07144982,16.06139,21.89923,55.4369703,52.0032046011225,927813,110023,0.99
28.37064,0.06685111,13.31876,22.72922,26.3517636,35.8915314398692,949316,234077,1.0
65.51282,0.07396065,15.62765,23.38617,21.3059162,62.1757889726036,885154,241073,1.0
38.25673,0.0712933,18.07598,21.76222,0.0,105.912839173467,899544,110047,0.93
33.07981,0.06993428,14.72594,19.21745,0.0,70.5715813944459,938727,155603,0.74
75.99474,0.07661181,13.67847,24.60179,29.8738855,14.4715166456468,844202,220424,0.96
36.66647,0.06717867,15.43863,22.89445,460.189228,25.4776538734908,928684,206436,0.97
40.61827,0.06961782,15.09103,23.435,34.3795711,35.9664109196088,920836,236864,1.0
