NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAR_FID,NEAREST_OPENSPACE,NEAR_FID_ROAD,NEAREST_ROAD,prevalence_int,Latitude_Last,Longitude_Last
28.26134,6.761701E-02,12.75148,22.80134,30276,115.435730,464314,62.4357914592994,6.9,951089,250105
65.0816,7.408629E-02,15.32885,23.40956,48170,31.1910858,234880,31.0126728097321,16.7,884562,243006
58.62608,7.287842E-02,15.71985,22.33406,40197,0,403236,87.0849898138764,11.3,878714,196573
32.81652,6.666977E-02,14.16125,22.82428,34248,252.154150,179003,51.177166145704,20.7,939816,226716
48.24616,7.136818E-02,15.23699,23.55356,47979,26.1310298,478761,44.453693665555,13.9,907479,240334
40.53979,7.115677E-02,18.06246,21.66893,25908,133.723528,371078,53.1410548377822,10.9,888445,109275
63.60942,7.437808E-02,14.94381,22.75872,39711,0,74721,94.2785908517251,19.5,864289,196232
52.17001,7.077187E-02,16.92492,22.89255,12793,66.0388734,98743,64.6486452519329,13.3,898508,207092
37.74364,7.123987E-02,18.2186,21.78117,24897,29.8196111,378726,40.423564294845,18.7,903373,109354
63.64947,7.322519E-02,16.00458,23.18437,39917,0,494419,79.7019821423513,10.9,876766,207628
32.52083,6.668659E-02,14.08202,22.8116,14325,96.5043068,170698,37.472629264052,34.2,940054,227559
32.50126,6.926141E-02,14.84885,21.31628,1009,34.2528355,101702,83.7723332617759,16.9,927858,182022
68.9284,7.992547E-02,12.33513,24.79909,41129,35.2897271,306289,31.7157903620024,19.5,858488,267344
31.58254,6.909109E-02,12.92661,23.05685,2550,32.3098585,462500,10.0348260669553,14.4,937102,254109
,8.147103E-02,13.3,23.90093,12715,129.272273,530669,34.0599171466793,4.2,828288,297618
63.78936,7.494391E-02,14.16972,23.57204,24682,34.4108957,522705,36.2126095717003,11,883564,250815
76.37839,7.774086E-02,13.42153,23.85795,48979,13.2492687,272363,59.0761984947818,10.6,819611,246290
48.81389,7.113826E-02,16.11369,22.18719,14183,137.257071,145557,139.261139938625,6.1,898131,193587
47.66922,7.239729E-02,15.17393,21.02597,38139,30.6011370,382600,43.6972251514421,5,883855,171494
39.75135,7.079782E-02,15.36446,21.30522,54217,0,53347,82.0180538417919,13.3,907015,177123
49.57468,7.126905E-02,15.79807,23.53279,42410,234.061796,118697,32.0922247391594,3.8,906498,236937
52.83831,7.141603E-02,17.41317,23.55018,22055,93.2833681,93482,18.1906190564814,16.3,901963,232874
44.59684,7.320073E-02,16.36959,20.57954,686,28.0987081,387000,58.9506197890366,13.8,867503,111754
81.24463,7.715172E-02,13.14638,24.20695,1091,19.7419088,266265,30.0659238412749,18.1,826248,228972
