Prevalence,NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD
14.4,31.5825405,0.0690911,12.9266071,23.0568504,32.309858595136973,10.034826066955297
4.2,,0.081471,13.3000002,23.9009266,129.272273739924884,34.059917146679304
11,63.7893639,0.0749439,14.1697168,23.5720444,34.410895784775484,36.212609571700270
10.6,76.3783875,0.0777409,13.421525,23.8579521,13.249268736709855,59.076198494781792
6.1,48.8138885,0.0711383,16.1136894,22.1871891,137.257071514056207,139.261139938625234
5,47.6692162,0.0723973,15.1739349,21.0259724,30.601137094700004,43.697225151442098
13.3,39.7513504,0.0707978,15.3644609,21.3052216,0,82.018053841791883
3.8,49.5746765,0.0712691,15.7980661,23.5327854,234.061796902272505,32.092224739159363
16.3,52.8383102,0.071416,17.413168,23.5501804,93.283368133110187,18.190619056481438
13.8,44.5968361,0.0732007,16.3695908,20.5795364,28.098708118537214,58.950619789036558
18.1,81.2446289,0.0771517,13.1463804,24.2069454,19.741908898069891,30.065923841274905
4.7,31.4068184,0.0688297,13.0839968,23.0377312,49.767564408059506,36.253849194033236
8.8,76.4967804,0.0778178,13.281579,23.9012508,203.775422441906187,95.331168378311745
13.1,40.1253357,0.0687206,26.481966,22.3855343,16.357433364849818,26.315361768361363
13.2,36.3526611,0.0711934,16.9176445,21.885603,40.284290810798936,41.407189302113373
22,38.620018,0.0721853,16.4124298,21.3400726,0,34.927281134152359
4.2,62.3506126,0.0729195,17.2081928,23.3904209,33.370959143422319,115.501757220010930
11.8,69.3868179,0.0760079,13.8658361,24.0022144,201.375064653417240,64.159655554107545
15.6,42.9419937,0.0691106,16.2787514,22.8023682,0,32.166495399237789
5.2,33.9011269,0.0698626,13.1298161,23.3356075,33.679804641732893,34.289104823351835
13.5,40.2457581,0.0744087,15.7727852,20.2325687,10.414632231801187,67.393427995544926
10.7,41.4019814,0.0679089,16.150219,23.2669563,90.836339265210910,46.493662915328294
7.1,77.7902985,0.0771856,13.3839293,24.739048,9.190873041242057,64.138654482607663
9.6,48.6169243,0.0710813,15.9327688,23.5173912,85.629974495831064,33.241233921007797
12.2,33.1834602,0.0671535,14.1176825,22.9190617,0,54.355497361973121
9.8,36.2206841,0.0669927,15.3435316,22.8977318,97.666146705133968,111.781556094683111
13.9,81.2174072,0.0771249,13.1060734,24.2441959,31.106818784699435,31.530349305943751
7.9,65.9214859,0.072976,17.2234268,23.2973995,18.712553551625522,31.951852619278139
18.8,29.6825924,0.0667598,13.5696745,22.7272243,798.799390740225249,16.296839638816628
12.3,53.9590263,0.0711025,18.1128178,23.5109768,49.809409243623250,37.026934649570585
4.3,70.864296,0.0766343,13.5887756,24.2590923,0,45.154414624222596
15.5,53.1052322,0.0712385,16.6872139,22.5167618,25.390255452803601,26.442807653150307
13.8,35.5355759,0.0661338,15.0815058,22.9379807,40.903962177937643,129.582949521319449
7.5,35.4739189,0.0709319,15.4065075,19.9148655,0,86.511083814289066
7.4,45.759922,0.06643,34.8486099,22.8339577,10.087048088575685,58.523348437954937
8.5,36.4950294,0.0689263,15.3956184,21.6376743,233.593416832045762,17.577556726945630
6.1,79.5438156,0.0771043,13.2546406,24.9783916,0,178.085171135682884
14.4,45.6797028,0.0706698,15.6907215,23.488205,0,56.926408913461124
8.6,72.999855,0.0761442,14.2010241,24.4676018,78.154180689786330,97.186625923257381
17.2,54.7524796,0.0711612,17.0499039,23.0373669,332.924938592048022,60.596916558711094
