NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD,Prevalence
46.799221,0.0687081,27.6485729,21.8777924,62.028823364817789,79.577011444994199,
35.8301544,0.0707671,18.1289062,21.7036285,674.986677940374193,219.585231619365658,
35.6684685,0.074605,15.8802881,20.3275127,0,276.402986003529236,
56.1713676,0.0864759,13.7169228,27.1740437,29.757391887716508,47.738655555606016,
46.5892639,0.0690565,25.7273483,21.8314743,127.326819632416417,118.091980169600291,
47.8760948,0.0638751,29.2582092,22.6576729,0,535.654025990627133,
47.5447464,0.0687893,27.0189514,21.8426571,50.489600002765656,266.983201891796512,
47.6286736,0.0687322,27.2829609,21.8566399,0,466.453735330420216,
55.542778,0.0745145,14.7367926,21.3896847,0,141.384894587115241,
76.9947205,0.0778913,13.3000011,23.8138275,0,269.815299945591050,
44.9716644,0.068654,28.2738171,21.9030457,406.837169618091707,272.440210299423768,
43.7665253,0.0689245,27.0476189,21.892025,0,475.835723349650323,
44.5535851,0.0655451,36.8857613,23.105341,781.893245604759500,90.696567976697935,
44.4354553,0.0685406,28.9449711,21.9259129,0,272.920745672691169,
47.5120964,0.0637596,30.1459599,22.7266941,0,47.751137898994180,
35.5864105,0.0740967,15.6487131,20.3629303,663.663491976104865,98.769302447614720,
43.4912605,0.0647281,39.2048073,23.225462,0,423.298266384406475,
43.687027,0.0682278,30.3353901,22.0618439,310.584548725376123,147.178980982618782,
46.3569756,0.0678846,31.3196907,22.1591301,340.919920756354088,100.575690306609800,
48.6707306,0.0668341,28.824213,22.2526436,301.318130966842773,241.517628194306582,
44.8150063,0.0664208,35.0805283,22.8576355,0,938.876177901120059,
,0.0759771,,20.5000038,0,47.603013252253611,
28.9517975,0.0682641,12.6267309,22.8462639,0,176.883724701670246,
41.9651947,0.0697288,23.4888287,21.8353176,187.649033892857574,61.026837924969094,
34.7989655,0.0741986,15.4762125,20.4904308,234.727958158251852,821.139284527293057,
46.4104156,0.0663414,34.3621635,22.8809948,1178.763188765604809,142.586590118803628,
33.6342354,0.0719712,15.1970377,19.7155666,76.460868682765934,65.533559731479457,
41.5364189,0.0670685,30.2372246,22.9999733,0,108.289800786618599,
44.7329865,0.0658216,36.3099403,23.0395889,0,449.392989979590254,
38.6526222,0.0725886,15.4529352,20.2015553,0,74.085616419830799,
35.401329,0.0742144,15.6644154,20.3809032,0,244.128922151335701,
35.5005455,0.0718919,15.8568163,21.7944088,0,292.602443556386902,
44.1365509,0.0614915,41.1477356,23.7775116,911.074134771759077,462.115394406950543,
45.1255264,0.0697422,22.6331654,21.7694302,489.155649089202655,120.452199603367006,
42.2840614,0.0667425,32.3329239,23.0117741,0,457.504473369842515,
46.6707077,0.0691244,25.3307018,21.8158684,0,15.678924190886171,
44.230545,0.0648889,37.1194038,23.1543655,0,412.939100375593455,
41.6666946,0.0668316,30.8547993,23.0661583,0,529.988622129929581,
35.3438301,0.0706914,15.1284113,20.0403156,72.125388481042691,273.972945281869386,
34.8526573,0.0729821,15.0155773,21.3377705,0,200.333966589963836,
47.2757111,0.0690005,25.8938637,21.8072681,117.676029295978452,228.765013415836421,
44.6439056,0.0653368,37.0321693,23.1399269,0,572.787128835893895,
34.6465454,0.074467,15.1117535,20.8269768,0,348.495024061387369,
45.4251709,0.0650983,34.9464722,23.0565605,730.342819816132646,306.868159353302531,
45.0409317,0.059,36.8930435,24.9992847,0,396.457088543389602,
46.5693932,0.0619824,30.0537415,22.8149834,183.888728220752313,174.415005109779770,
41.9350929,0.0664781,32.3185463,23.1062374,0,335.775163326811423,
45.0519524,0.0601997,35.6837234,23.0235462,94.729379909660764,187.931161153964638,
43.1072617,0.0646522,39.7866859,23.2494583,123.068486066975751,501.610416544018165,
77.0091934,0.0782593,12.7099247,24.9517212,87.502205929267376,410.843377534251545,
46.5598297,0.0693707,24.0766087,21.7740459,738.182191006195126,213.271666140760345,
44.4145737,0.0690373,26.4097595,21.8681927,0,258.409045189512085,
36.0773048,0.074276,15.5144672,20.4332485,161.881909222767661,943.527765244795091,
39.738636,0.0703249,21.0787029,21.8203621,0,460.000476892274094,
42.3818703,0.0649304,39.413723,24.6153622,451.777606633655751,989.186296232983750,
45.8501625,0.0609879,30.3072586,22.8532944,1436.771654373048023,103.164089645598636,
35.2146454,0.0731374,15.0841618,21.261301,0,11.019235296808898,
47.3096046,0.068703,27.5630207,21.8757801,0,232.709469852115689,
34.6865997,0.0725058,15.20189,21.4876328,663.238131069339602,648.419123729871899,
47.2591629,0.0691115,25.2460251,21.7796974,0,458.795385965112132,
,0.0768313,13.3000002,21.6971664,0,374.704547793357506,
42.6291733,0.0646933,40.6850204,24.4997749,271.742244425327328,254.462529723157644,
43.1628761,0.0737753,15.5196438,19.9221535,505.112593816504670,380.393613727413197,
44.1818657,0.0684483,29.4352837,21.9502678,141.395848315972472,47.725990309544208,
78.4800873,0.077298,13.0661316,24.9087143,436.117223069307897,38.012116780815347,
76.633873,0.0787612,12.6076603,24.9803009,531.040273718725302,94.265618385070923,
34.7272758,0.0738061,15.1146126,19.60672,36.955111544481682,32.682014034012731,
59.9860687,0.0745022,14.9156685,22.561264,321.807718287182013,82.692702461168551,
35.5153847,0.0709527,15.3628721,20.0025826,0,258.210616475563711,
42.7254829,0.0687574,27.9785194,21.936945,0,28.592299670821586,
35.3042831,0.0744726,15.5990658,20.4293289,19.341850399979510,1730.825883653340497,
42.2131119,0.0682499,29.5864296,22.2555313,505.842185422328328,264.636268798501760,
53.0486832,0.0874703,13.5483437,27.2630081,0,149.406802149636178,
46.3590698,0.0675008,32.3825455,22.3564854,986.124187488997677,115.344476034625359,
,0.0886578,,,0,66.090328579118903,
42.2850876,0.0653111,37.3271408,23.3076286,0,200.171750679735140,
44.6648712,0.0683295,29.9578514,21.97019,0,735.017745231383174,
,0.0776048,13.3000002,22.9564667,3006.881060595117106,436.003561875622268,
42.0091972,0.0676809,30.4130363,22.6637383,0,169.060345973945175,
47.909111,0.0682655,29.0025558,22.0560265,11.481240087866409,69.726074672675992,
39.7914085,0.0703265,21.0932598,21.8170795,424.983757926015812,98.246848123411041,
46.0950851,0.0635785,32.6271782,22.8915348,38.309225965178896,29.397979314073883,
