index,Prevalence,NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD,target,asthma_hotspot_probability
139,10.2,70.9842072,0.0796417,12.3849945,24.8066292,30.746932595994416,40.69091511119088,1,0.99
25,7.7,43.5366783,0.0739632,15.8450174,20.5387249,0.0,35.91536667987464,1,0.96
602,10.0,63.8372116,0.0726464,17.5628624,23.2926025,221.90347938032053,54.910107683517616,1,1.0
594,9.3,50.9726753,0.0706546,17.6191597,23.4911098,0.0,56.94725646666412,1,1.0
1300,24.6,61.2333145,0.0726762,17.6860466,23.4210644,192.6356691792303,24.74579086630869,1,1.0
1023,9.5,52.3734932,0.0713376,17.3159771,23.5422363,37.702271599599165,39.73464513929744,1,1.0
151,0.0,43.1072617,0.0646522,39.7866859,23.2494583,123.06848606697577,501.61041654401816,0,0.08
990,0.0,43.7789764,0.0733815,15.4647112,19.9372425,551.3389349030997,76.75604637668732,0,0.5
331,0.0,33.4438705,0.0675913,14.7743559,22.4844799,644.6168683486254,133.26023298196984,0,0.3
288,11.8,42.9303589,0.0702244,21.0906773,21.7482281,50.02859418240813,79.03963846393384,1,0.96
618,10.6,63.9644814,0.0728106,16.7610607,23.3399029,71.88524624172796,127.9221639024511,1,1.0
198,7.5,35.4739189,0.0709319,15.4065075,19.9148655,0.0,86.51108381428905,1,0.19
903,0.0,42.2454948,0.0681141,29.909111,22.3408241,0.0,415.0160697111255,0,0.0
1055,10.1,47.1084938,0.0695106,17.0022602,23.405241,50.26508976035258,26.283925281828715,1,1.0
496,13.4,44.2562828,0.0724102,16.188345,20.9572639,396.65985068143414,71.81507317631304,1,0.99
778,18.8,42.814312,0.0730314,15.8296337,20.8356895,28.169793044806745,46.71792089005093,1,1.0
419,0.0,41.2008667,0.0739537,15.5428381,20.1317101,55.03624647654457,608.869204584254,0,0.03
652,0.0,35.4852829,0.0742167,15.6690941,20.3715324,821.4141430127856,224.88559913385595,0,0.03
132,14.7,53.1570168,0.0710302,16.8782406,22.7953987,92.64399052079854,36.749118068481806,1,1.0
350,14.7,76.3343277,0.0781635,13.2490044,23.9172573,0.0,46.21034079191705,1,0.64
239,5.5,41.4012604,0.0714079,15.3357458,21.0841331,52.26306755924279,70.39733613821468,1,1.0
952,7.2,46.1280823,0.0721059,15.1904783,21.171627,7.595770992305349,40.85140256154262,1,0.99
323,0.0,47.554512,0.0686615,27.6879425,21.8860321,0.0,302.20775024308705,0,0.0
115,0.0,44.5535851,0.0655451,36.8857613,23.105341,781.8932456047595,90.69656797669792,0,0.0
881,0.0,45.8501625,0.0609879,30.3072586,22.8532944,800.3723547569598,369.85096806792063,0,0.01
287,0.0,47.5903358,0.0678257,30.6444836,22.2702522,0.0,423.863053546222,0,0.0
573,17.0,72.2960358,0.0765848,13.7058268,24.1219177,48.421023934157674,61.984102447675824,1,1.0
190,9.8,36.2206841,0.0669927,15.3435316,22.8977318,97.66614670513395,111.78155609468313,1,0.99
1304,23.1,43.0701714,0.064012,42.5179367,23.5161209,67.646264547034,34.22539055587548,1,0.96
1350,9.8,32.8182526,0.0664331,14.2708826,22.7877121,428.66177976225833,118.49383876811255,1,0.94
